,dong,per price
청운동,1111010100,21491478
신교동,1111010200,0
궁정동,1111010300,0
효자동,1111010400,0
창성동,1111010500,0
통의동,1111010600,0
적선동,1111010700,11153846
통인동,1111010800,0
누상동,1111010900,0
누하동,1111011000,0
옥인동,1111011100,0
체부동,1111011200,0
필운동,1111011300,11500000
내자동,1111011400,0
사직동,1111011500,24380585
도렴동,1111011600,0
당주동,1111011700,20000000
내수동,1111011800,20768035
세종로,1111011900,0
신문로1가,1111012000,17083333
신문로2가,1111012100,0
청진동,1111012200,0
서린동,1111012300,0
수송동,1111012400,16294118
중학동,1111012500,0
종로1가,1111012600,17722222
공평동,1111012700,0
관훈동,1111012800,0
견지동,1111012900,17857143
와룡동,1111013000,0
권농동,1111013100,0
운니동,1111013200,10000000
익선동,1111013300,15742424
경운동,1111013400,13478261
관철동,1111013500,16500000
인사동,1111013600,0
낙원동,1111013700,9411765
종로2가,1111013800,0
팔판동,1111013900,0
삼청동,1111014000,0
안국동,1111014100,0
소격동,1111014200,0
화동,1111014300,0
사간동,1111014400,0
송현동,1111014500,0
가회동,1111014600,0
재동,1111014700,0
계동,1111014800,0
원서동,1111014900,0
훈정동,1111015000,0
묘동,1111015100,0
봉익동,1111015200,0
돈의동,1111015300,0
장사동,1111015400,0
관수동,1111015500,0
종로3가,1111015600,0
인의동,1111015700,17835478
예지동,1111015800,0
원남동,1111015900,17000000
연지동,1111016000,0
종로4가,1111016100,0
효제동,1111016200,17433334
종로5가,1111016300,0
종로6가,1111016400,0
이화동,1111016500,0
연건동,1111016600,18974747
충신동,1111016700,10692308
동숭동,1111016800,14352941
혜화동,1111016900,0
명륜1가,1111017000,22333333
명륜2가,1111017100,24405879
명륜4가,1111017200,0
명륜3가,1111017300,0
창신동,1111017400,16163773
숭인동,1111017500,16029482
교남동,1111017600,0
평동,1111017700,47651515
송월동,1111017800,0
홍파동,1111017900,46764706
교북동,1111018000,34411458
행촌동,1111018100,14083333
구기동,1111018200,11366340
평창동,1111018300,16349152
부암동,1111018400,9002457
홍지동,1111018500,0
신영동,1111018600,11074074
무악동,1111018700,28862123
