,dong,per price
무교동,1114010100,0
다동,1114010200,0
태평로1가,1114010300,0
을지로1가,1114010400,0
을지로2가,1114010500,16950000
남대문로1가,1114010600,0
삼각동,1114010700,0
수하동,1114010800,0
장교동,1114010900,0
수표동,1114011000,0
소공동,1114011100,0
남창동,1114011200,17000000
북창동,1114011300,0
태평로2가,1114011400,0
남대문로2가,1114011500,0
남대문로3가,1114011600,0
남대문로4가,1114011700,0
남대문로5가,1114011800,22545455
봉래동1가,1114011900,0
봉래동2가,1114012000,0
회현동1가,1114012100,21249056
회현동2가,1114012200,25849057
회현동3가,1114012300,0
충무로1가,1114012400,0
충무로2가,1114012500,0
명동1가,1114012600,0
명동2가,1114012700,0
남산동1가,1114012800,0
남산동2가,1114012900,0
남산동3가,1114013000,0
저동1가,1114013100,0
충무로4가,1114013200,23662058
충무로5가,1114013300,18550000
인현동2가,1114013400,17250000
예관동,1114013500,0
묵정동,1114013600,17911764
필동1가,1114013700,16384615
필동2가,1114013800,0
필동3가,1114013900,13658537
남학동,1114014000,0
주자동,1114014100,0
예장동,1114014200,0
장충동1가,1114014300,8750000
장충동2가,1114014400,9908334
광희동1가,1114014500,9090909
광희동2가,1114014600,0
쌍림동,1114014700,0
을지로6가,1114014800,13062500
을지로7가,1114014900,0
을지로4가,1114015000,0
을지로5가,1114015100,14126667
주교동,1114015200,0
방산동,1114015300,0
오장동,1114015400,8333333
을지로3가,1114015500,0
입정동,1114015600,0
산림동,1114015700,11092593
충무로3가,1114015800,13450000
초동,1114015900,0
인현동1가,1114016000,0
저동2가,1114016100,0
신당동,1114016200,25080353
흥인동,1114016300,18718757
무학동,1114016400,0
황학동,1114016500,16461101
서소문동,1114016600,0
정동,1114016700,29666667
순화동,1114016800,24835918
의주로1가,1114016900,13762669
충정로1가,1114017000,0
중림동,1114017100,22468276
의주로2가,1114017200,0
만리동1가,1114017300,23738854
만리동2가,1114017400,28569734
