,dong,per price
성북동,1129010100,17234848
성북동1가,1129010200,26000000
돈암동,1129010300,18783772
동소문동1가,1129010400,0
동소문동2가,1129010500,0
동소문동3가,1129010600,0
동소문동4가,1129010700,14749415
동소문동5가,1129010800,27324885
동소문동6가,1129010900,20972222
동소문동7가,1129011000,24125000
삼선동1가,1129011100,0
삼선동2가,1129011200,22907082
삼선동3가,1129011300,18428879
삼선동4가,1129011400,16141146
삼선동5가,1129011500,11538462
동선동1가,1129011600,12959789
동선동2가,1129011700,0
동선동3가,1129011800,0
동선동4가,1129011900,17300000
동선동5가,1129012000,0
안암동1가,1129012100,23656250
안암동2가,1129012200,0
안암동3가,1129012300,11953674
안암동4가,1129012400,9176471
안암동5가,1129012500,0
보문동4가,1129012600,19545455
보문동5가,1129012700,0
보문동6가,1129012800,21772059
보문동7가,1129012900,0
보문동1가,1129013000,0
보문동2가,1129013100,9000000
보문동3가,1129013200,21989890
정릉동,1129013300,14861761
길음동,1129013400,22858995
종암동,1129013500,17863464
하월곡동,1129013600,17140069
상월곡동,1129013700,14607308
장위동,1129013800,17191705
석관동,1129013900,16799554
