,area code,price
jongnogu,11010,17315259
junggu,11020,16565786
yongsangu,11030,26809288
seongdonggu,11040,24652879
gwangjingu,11050,18723442
dongdaemungu,11060,17942011
jungnanggu,11070,34340195
seongbukgu,11080,17728487
gangbukgu,11090,13006466
dobonggu,11100,12687343
nowongu,11110,21326491
eunpyeonggu,11120,15960645
seodaemungu,11130,18888344
mapogu,11140,23904212
yangcheongu,11150,24622523
gangseogu,11160,22146577
gurogu,11170,14450335
geumcheongu,11180,13102033
yeongdeungpogu,11190,26809288
dongjakgu,11200,24060553
gwanakgu,11210,18370573
seochogu,11220,28836552
gangnamgu,11230,39181003
songpagu,11240,24815527
gangdonggu,11250,20511262
