,dong,per price
영등포동,1156010100,16773642
영등포동1가,1156010200,17396444
영등포동2가,1156010300,12715978
영등포동3가,1156010400,11993359
영등포동4가,1156010500,22241176
영등포동5가,1156010600,17285714
영등포동6가,1156010700,6661491
영등포동7가,1156010800,18214122
영등포동8가,1156010900,256703114
여의도동,1156011000,25555863
당산동1가,1156011100,24248462
당산동2가,1156011200,18420928
당산동3가,1156011300,21742939
당산동4가,1156011400,27170919
당산동5가,1156011500,24063986
당산동6가,1156011600,19447222
당산동,1156011700,15526211
도림동,1156011800,16538990
문래동1가,1156011900,0
문래동2가,1156012000,16500000
문래동3가,1156012100,21142810
문래동4가,1156012200,20678346
문래동5가,1156012300,16497127
문래동6가,1156012400,17181932
양평동1가,1156012500,21166944
양평동2가,1156012600,14816224
양평동3가,1156012700,18482027
양평동4가,1156012800,16088872
양평동5가,1156012900,20709342
양평동6가,1156013000,20061403
양화동,1156013100,0
신길동,1156013200,22612075
대림동,1156013300,17943778
양평동,1156013400,0
